price,latitude,longitude,homeStatus,zestimate,rentZestimate,detailUrl,address
568000.0,29.849682,-95.49046,FOR_SALE,565200,3249,/homedetails/5717-Rucio-Ln-Houston-TX-77092/251166239_zpid/,"5717 Rucio Ln, Houston, TX 77092"
309000.0,30.036366,-95.5257,FOR_SALE,309600,2191,/homedetails/17730-Telegraph-Creek-Dr-Spring-TX-77379/28290267_zpid/,"17730 Telegraph Creek Dr, Spring, TX 77379"
635000.0,33.838028,-96.90086,FOR_SALE,632700,2850,/homedetails/41-Annadale-Ln-Gordonville-TX-76245/193047169_zpid/,"41 Annadale Ln, Gordonville, TX 76245"
750000.0,33.265858,-96.90479,FOR_SALE,,,/homedetails/4000-Scout-Ln-Aubrey-TX-76227/333488365_zpid/,"4000 Scout Ln, Aubrey, TX 76227"
1358880.0,27.897707,-97.876144,FOR_SALE,,,/homedetails/5012-County-Road-101-Robstown-TX-78380/2055735053_zpid/,"5012 County Road 101, Robstown, TX 78380"
165000.0,29.638294,-95.23144,FOR_SALE,164900,1625,/homedetails/10226-Aves-St-Houston-TX-77034/28035424_zpid/,"10226 Aves St, Houston, TX 77034"
350000.0,29.53272,-95.04163,FOR_SALE,344100,2540,/homedetails/143-Hidden-Lake-Dr-League-City-TX-77573/27663943_zpid/,"143 Hidden Lake Dr, League City, TX 77573"
324999.0,30.006126,-97.87631,FOR_SALE,,,/homedetails/185-Spring-Branch-Dr-Kyle-TX-78640/55300376_zpid/,"185 Spring Branch Dr, Kyle, TX 78640"
275000.0,30.774595,-94.417496,FOR_SALE,,,/homedetails/306-E-Wheat-St-Woodville-TX-75979/2055766452_zpid/,"306 E Wheat St, Woodville, TX 75979"
485000.0,33.03939,-96.7421,FOR_SALE,493100,3150,/homedetails/2512-Plateau-Dr-Plano-TX-75075/26601305_zpid/,"2512 Plateau Dr, Plano, TX 75075"
275000.0,29.164503,-98.3357,FOR_SALE,273500,1580,/homedetails/150-Country-View-Ln-Floresville-TX-78114/78928026_zpid/,"150 Country View Ln, Floresville, TX 78114"
361315.0,30.075064,-97.79835,FOR_SALE,,,/homedetails/109-Bromeliad-Dr-Buda-TX-78610/2055733944_zpid/,"109 Bromeliad Dr, Buda, TX 78610"
450000.0,33.158417,-96.68769,FOR_SALE,457600,2695,/homedetails/5505-Soapberry-Dr-McKinney-TX-75070/119555234_zpid/,"5505 Soapberry Dr, McKinney, TX 75070"
395000.0,32.52962,-95.63282,FOR_SALE,395400,2163,/homedetails/353-E-Pennsylvania-Ave-Van-TX-75790/75927529_zpid/,"353 E Pennsylvania Ave, Van, TX 75790"
435000.0,29.143305,-98.146454,FOR_SALE,436800,2114,/homedetails/2408-B-St-Floresville-TX-78114/78922962_zpid/,"2408 B ST, Floresville, TX 78114"
265000.0,32.83793,-96.677376,FOR_SALE,267300,2100,/homedetails/2207-Ballycastle-Dr-Dallas-TX-75228/26746334_zpid/,"2207 Ballycastle Dr, Dallas, TX 75228"
499900.0,33.241035,-96.617905,FOR_SALE,502000,3296,/homedetails/4101-Meramac-Dr-McKinney-TX-75071/83747999_zpid/,"4101 Meramac Dr, McKinney, TX 75071"
800000.0,30.54473,-97.80016,FOR_SALE,765000,3533,/homedetails/475-County-Road-180-Leander-TX-78641/29598336_zpid/,"475 County Road 180, Leander, TX 78641"
315000.0,32.703075,-96.62997,FOR_SALE,113500,1795,/homedetails/11420-Long-Hill-Ln-Balch-Springs-TX-75180/2060988634_zpid/,"11420 Long Hill Ln, Balch Springs, TX 75180"
319000.0,29.285463,-94.82782,FOR_SALE,317700,1994,/homedetails/5520-Menard-Ave-Galveston-TX-77551/27699224_zpid/,"5520 Menard Ave, Galveston, TX 77551"
179000.0,32.714394,-97.23233,FOR_SALE,179800,1794,/homedetails/5624-Burton-Ave-Fort-Worth-TX-76119/29061328_zpid/,"5624 Burton Ave, Fort Worth, TX 76119"
259000.0,32.7741,-96.77787,FOR_SALE,259300,2800,/homedetails/2022-Bourbon-St-Dallas-TX-75226/26679344_zpid/,"2022 Bourbon St, Dallas, TX 75226"
799000.0,30.174503,-97.99342,FOR_SALE,,,/homedetails/196-Stoney-Point-Rd-Austin-TX-78737/122188653_zpid/,"196 Stoney Point Rd, Austin, TX 78737"
725000.0,33.19687,-96.76271,FOR_SALE,730900,3200,/homedetails/713-Ely-Ct-McKinney-TX-75072/242104331_zpid/,"713 Ely Ct, McKinney, TX 75072"
149000.0,30.367208,-103.66556,FOR_SALE,,,/homedetails/1202-N-5th-St-Alpine-TX-79830/87180340_zpid/,"1202 N 5th St, Alpine, TX 79830"
515000.0,30.007408,-97.55839,FOR_SALE,516500,1754,/homedetails/348-Rianna-Woods-Dr-Dale-TX-78616/84377158_zpid/,"348 Rianna Woods Dr, Dale, TX 78616"
289000.0,29.41324,-95.007866,FOR_SALE,288200,2199,/homedetails/3309-Hatteras-Dr-Texas-City-TX-77591/304062825_zpid/,"3309 Hatteras Dr, Texas City, TX 77591"
185000.0,30.145168,-96.68309,FOR_SALE,183600,3603,/homedetails/336-Centennial-St-Carmine-TX-78932/87288535_zpid/,"336 Centennial St, Carmine, TX 78932"
199900.0,29.747149,-95.50524,FOR_SALE,,1599,/homedetails/1925-Stoney-Brook-Dr-Houston-TX-77063/2117648264_zpid/,"1925 Stoney Brook Dr, Houston, TX 77063"
170000.0,29.535957,-98.49926,FOR_SALE,169900,1700,/homedetails/339-Tammy-Dr-San-Antonio-TX-78216/26315085_zpid/,"339 TAMMY DR, San Antonio, TX 78216"
629000.0,32.978672,-96.97141,FOR_SALE,647700,3200,/homedetails/713-Greenway-Dr-Coppell-TX-75019/26965238_zpid/,"713 Greenway Dr, Coppell, TX 75019"
270000.0,31.066833,-97.67412,FOR_SALE,,,/homedetails/119-Snake-Dance-Dr-Harker-Heights-TX-76548/58203946_zpid/,"119 Snake Dance Dr, Harker Heights, TX 76548"
210000.0,31.586208,-102.87932,FOR_SALE,,,/homedetails/1202-S-Ike-Ave-Monahans-TX-79756/87582163_zpid/,"1202 S Ike Ave, Monahans, TX 79756"
